Row Count,List String,Sort Date,RR,Month,Month ##,Year,Year ##,ST Rate,MT Rate,LT Rate
99,September 2015 (2015-19),42248,2015-19,September,9,2015,15,0.0065,0.0211,0.0314
ID,August 2015 (2015-16),42217,2015-16,August,8,2015,15,0.0058,0.0217,0.0336
15090,July 2015 (2015-15),42186,2015-15,July,7,2015,15,0.0058,0.0211,0.0326
,June 2015 (2015-14),42156,2015-14,June,6,2015,15,0.0052,0.0191,0.0298
,May 2015 (2015-8),42125,2015-8,May,5,2015,15,0.0052,0.0182,0.0275
,April 2015 (2015-7),42095,2015-7,April,4,2015,15,0.0058,0.0203,0.0294
,March 2015 (2015-4),42064,2015-4,March,3,2015,15,0.0048,0.0175,0.0262
,February 2015 (2015-3),42036,2015-3,February,2,2015,15,0.0058,0.0203,0.0288
,January 2015 (2015-1),42005,2015-1,January,1,2015,15,0.0049,0.0209,0.0318
,December 2014 (2014-31),41974,2014-31,December,12,2014,14,0.0041,0.0205,0.0326
,November 2014 (2014-28),41944,2014-28,November,11,2014,14,0.0047,0.0227,0.0347
,October 2014 (2014-26),41913,2014-26,October,10,2014,14,0.0046,0.0221,0.0344
,September 2014 (2014-22),41883,2014-22,September,9,2014,14,0.0043,0.0222,0.0354
,August 2014 (2014-19),41852,2014-19,August,8,2014,14,0.0043,0.0226,0.0368
,July 2014 (2014-20),41821,2014-20,July,7,2014,14,0.0037,0.0217,0.0365
,June 2014 (2014-16),41791,2014-16,June,6,2014,14,0.0038,0.0228,0.0374
,May 2014 (2014-13),41760,2014-13,May,5,2014,14,0.004,0.023,0.0389
,April 2014 (2014-12),41730,2014-12,April,4,2014,14,0.0034,0.0216,0.0395
,March 2014 (2014-8),41699,2014-8,March,3,2014,14,0.0034,0.022,0.04
,February 2014 (2014-6),41671,2014-6,February,2,2014,14,0.0036,0.0235,0.0424
,January 2014 (2014-1),41640,2014-1,January,1,2014,14,0.003,0.0209,0.0415
,December 2013 (2013-26),41609,2013-26,December,12,2013,13,0.003,0.0197,0.0395
,November 2013 (2013-22),41579,2013-22,November,11,2013,13,0.0032,0.0206,0.0401
,October 2013 (2013-21),41548,2013-21,October,10,2013,13,0.0038,0.023,0.0416
,September 2013 (2013-18),41518,2013-18,September,9,2013,13,0.003,0.0198,0.039
,August 2013 (2013-13),41487,2013-13,August,8,2013,13,0.0034,0.0194,0.0377
,July 2013 (2013-15),41456,2013-15,July,7,2013,13,0.0028,0.0146,0.0334
,June 2013 (2013-12),41426,2013-12,June,6,2013,13,0.0022,0.0114,0.0294
,May 2013 (2013-11),41395,2013-11,May,5,2013,13,0.0024,0.012,0.031
,April 2013 (2013-9),41365,2013-9,April,4,2013,13,0.0026,0.0131,0.0322
,March 2013 (2013-7),41334,2013-7,March,3,2013,13,0.0026,0.0131,0.0317
,February 2013 (2013-3),41306,2013-3,February,2,2013,13,0.0025,0.0121,0.03
